"denominazione","tipologia","categoria","totale_unita","totale_bagni","totale_letti","indirizzo","frazione","cap","codice_istat_comune","comune","provincia","latitudine","longitudine","telefono","fax","sitoweb","email","periodi","servizi_generali","servizi_camera","prezzo_alta_stagione_o_unica","prezzo_bassa_stagione","foto1","foto2","foto3","foto4","foto5"
"BEL SIT","Alberghi","3 stelle","35","35","61","VIA MEDITERRANEO ","","74122","073027","Taranto","TA","","","099 7716362","","www.lanuovamandragoraebelsit.com","belsit.lamandragora@libero.it","","","","camera-doppia-bagno (65-95)#camera-singola-bagno (40-80)#mezza-pensione-bagno (60-80)#pasto-cena (25-25)#pasto-colazione (5-5)#pasto-pranzo (40-40)#pensione-completa-bagno (70-100)","camera-doppia-bagno (50-75)#camera-singola-bagno (30-70)#mezza-pensione-bagno (50-70)#pasto-cena (-)#pasto-colazione (-)#pasto-pranzo (-)#pensione-completa-bagno (60-90)","","","","",""
"COSTA AZZURRA","Alberghi","3 stelle","26","26","57","VIALE DEI MICENEI","","74026","073022","Pulsano","TA","","","099 5333945","0995333948","www.costazzurrahotel.it","costazzurra@libero.it","01/01/2015-31/12/2015","","Aria condizionata indipendente-Cassafforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-Telefono","camera-doppia-bagno (130-130)#camera-tripla-bagno (130-130)#mezza-pensione-bagno (85-85)#pasto-cena (25-25)#pasto-pranzo (25-25)#pensione-completa-bagno (100-100)","camera-doppia-bagno (0-0)#camera-tripla-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)","","","","",""
"EDEN PARK","Alberghi","3 stelle","55","55","110","VIALE DEI GELSOMINI ","","74026","073022","Pulsano","TA","","","099 - 5333091","","www.edenpark.it","infoeden@edenpark.it","01/01/2015-31/12/2015","Ristorante-Bar-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Quotidiani-Accesso animali piccola taglia","Aria condizionata centralizzata-Aria condizionata indipendente-Rscaldamento centralizzato-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv-Tv satellitare-Frigobar-Riscaldamento","camera-doppia-bagno (95-130)#camera-singola (65-90)#mezza-pensione-bagno (70-85)#pasto-cena (20-25)#pasto-pranzo (20-25)#pensione-completa-bagno (85-105)#supplemento-vista-panoramica (15-25)","camera-doppia-bagno (70-75)#camera-singola (50-55)#mezza-pensione-bagno (50-55)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (65-70)#supplemento-vista-panoramica (-)","http://www.agenziapugliapromozione.it/portal/documents/ddl/904960/fileFoto1","http://www.agenziapugliapromozione.it/portal/documents/ddl/904960/fileFoto2","http://www.agenziapugliapromozione.it/portal/documents/ddl/904960/fileFoto3","http://www.agenziapugliapromozione.it/portal/documents/ddl/904960/fileFoto4",""
"COSTA D'ORO","Alberghi","3 stelle","30","30","60","VIA DEI GIRASOLI","","74020","073028","Torricella","TA","","","099 - 9570897","","www.hotelcostadoro.com","hotel@hotelcostadoro.com","","","","camera-doppia-bagno (50-130)#camera-singola-bagno (-)#servizio-colazione (-)","camera-doppia-bagno (-)#camera-singola-bagno (40-90)#servizio-colazione (-)","","","","",""
"MAR GRANDE PARK HOTEL","Alberghi","3 stelle","40","40","70","VIALE VIRGILIO","","74122","073027","Taranto","TA","","","099 331051","","www.parkhoteltaranto.it","info@parkhoteltaranto.it","","Bar-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata centralizzata-Rscaldamento centralizzato-Tv-Frigobar-Riscaldamento-Telefono","camera-doppia-bagno (50-80)#camera-singola-bagno (40-70)#pasto-colazione (7-7)","camera-doppia-bagno (-)#camera-singola-bagno (-)#pasto-colazione (-)","","","","",""
"APPARTAMENTI BLUE MARINE","Case e appartamenti","","28","28","84","VIA DELLE DALIE","","71012","071043","Rodi Garganico","FG","","","080/5615515 - 0884/999000","0884917365","www.bluemarinevillage.it","info@bluemarinevillage.it","30/05/2015-03/10/2015","Bagno privato-Somministrazione bevande-Somministrazione alimenti-Camere / struttura per ospiti Disabili","Telefono-Angolo cottura","ua-bilocale-due-sett (1232-1904)#ua-bilocale-mese (3010-3500)#ua-bilocale-sett (798-1106)","ua-bilocale-due-sett (518-882)#ua-bilocale-mese (1239-2114)#ua-bilocale-sett (259-616)","","","","",""
"INTERNAZIONALE","Campeggi","3 stelle","150","44","600","VIALE MARE DELLE ANTILLE","","74013","073007","Ginosa","TA","40.5774031","16.755807799999957","099 8277153","","www.campingmarinadiginosa.it","proloco@campingmarinadiginosa.it","","Bar-Reception 24h-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Accesso animali piccola taglia","Aria condizionata indipendente-Cassafforte / cassetta di sicurezza-Tv-Angolo cottura","adulti (8-8,5)#piazzola-prezzi (20,5-23,5)#ragazzi (6-6,5)#supplemento-accesso-visitatori (5-5)#supplemento-seconda-auto (6-6)#supplemento-seconda-moto (3-3)","adulti (5-6,5)#piazzola-prezzi (18-18,5)#ragazzi (4,5-5,5)#supplemento-accesso-visitatori (0-0)#supplemento-seconda-auto (0-0)#supplemento-seconda-moto (0-0)","http://www.agenziapugliapromozione.it/portal/documents/ddl/998130/fileFoto1","","","",""
"SANTOMAJ","Campeggi","3 stelle","100","74","560","VIA DELLE MARGHERITE","","74020","073010","Leporano","TA","","","099 5332275","","www.santomaj.com","info@santomaj.com","","","","adulti (-10)#piazzola-prezzi (29-45)#ragazzi (4-6)#supplemento-accesso-visitatori (15-15)#supplemento-bus (10-10)#supplemento-bus-rimorchio (15-15)#supplemento-seconda-auto (5-5)#supplemento-seconda-moto (3-3)#ua-bilocale (120-135)","adulti (5-10)#piazzola-prezzi (10-17)#ragazzi (0-3)#supplemento-accesso-visitatori (0-0)#supplemento-bus (0-0)#supplemento-bus-rimorchio (0-0)#supplemento-seconda-auto (0-0)#supplemento-seconda-moto (0-0)#ua-bilocale (75-100)","","","","",""
"GENTILE","Alloggi agrituristici","","1","1","5","CONTRADA TAGLIENTE B","","74015","073013","Martina Franca","TA","40.666804","17.301535000000058","080 4383595","","www.agriturismotrullogentile.com","info@agriturismotrullogentile.com","01/01/2015-31/12/2015","Parcheggio Coperto / Scoperto-Cucina in uso comune-Accesso animali piccola taglia","Frigobar-Riscaldamento-Angolo cottura","ua-bilocale-giorno (55-90)","ua-bilocale-giorno (45-75)","","","","",""
"GREEN PARK","Alloggi agrituristici","","8","7","10","CONTRADA CAVARUZZO ","","74015","073013","Martina Franca","TA","","","080 4400580","","","thepark@live.it","01/01/2015-31/12/2015","Ristorante-Camere / struttura per ospiti disabili","Riscaldamento indipendente-Tv","camera-doppia-bagno (70-70)#camera-singola-bagno (40-40)#mezza-pensione-bagno (60-60)#pasto-cena (-25)#pasto-pranzo (-25)#pensione-completa-bagno (70-70)#ua-bilocale-sett (280-280)","camera-doppia-bagno (0-0)#camera-singola-bagno (0-0)#mezza-pensione-bagno (0-0)#pasto-cena (-)#pasto-pranzo (-)#pensione-completa-bagno (0-0)#ua-bilocale-sett (0-0)","","","","",""
